The parameter values used or converged in the simulated result:
Initial LAI  = 0.0088088
Parameter a = 0.0002822
Parameter b =  0.011305
Parameter c =   0.00125

Estimated grain yield (kg/ha) :
 3840.8

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
143  85 1234.0    nan   4.04   700.3   9.97  11.57   2.88  267.6
144  86 1253.4    nan   4.04   726.2   9.55  11.99   3.01  283.0
145  87 1273.0    nan   4.04   750.9   7.54   9.94   3.09  297.3
146  88 1293.8    nan   4.04   770.5   9.91  11.27   2.86  308.2
147  89 1316.4    nan   4.04   796.2   5.99  11.59   2.93  321.9
148  90 1338.7    nan   4.04   811.7   6.31   8.77   3.25  329.8
149  91 1361.5   4.08   4.04   828.0   8.03  11.71   2.81  337.6
150  92 1385.9    nan   4.04   848.9   3.79  11.68   3.41  346.9
151  93 1408.0    nan   4.04   858.7   8.03   3.66   3.35  351.0
152  94 1429.3    nan   4.04   879.5   9.71   3.95   2.04  359.1
153  95 1453.1    nan   4.04   904.7   9.78  11.27   1.37  367.8
154  96 1477.9    nan   4.04   930.0   8.94  10.47   1.89  375.4
155  97 1502.9    nan   4.04   953.2   7.12  12.01   1.72  381.0
156  98 1527.0    nan   4.04   971.6   4.66  12.51   2.47  384.1
157  99 1549.6    nan   4.04   983.7   0.00  11.88   3.08  384.1
