The parameter values used or converged in the simulated result:
Initial LAI  =  0.038183
Parameter a =       1.0
Parameter b = 0.0029058
Parameter c = 0.0020978

Estimated grain yield (kg/ha) :
 5537.3

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
227  86 1308.0    nan   2.13  1517.8   7.62   5.56   1.79  395.3
228  87 1324.3   1.83   2.12  1537.5   7.61   6.63   2.00  411.3
229  88 1340.1    nan   2.12  1557.3  11.29   7.21   2.24  427.3
230  89 1355.7    nan   2.12  1586.5   6.30   7.13   2.82  451.3
231  90 1370.1    nan   2.11  1602.9   7.08   5.81   3.32  464.8
232  91 1384.3    nan   2.11  1621.2   9.88   5.39   2.92  480.1
233  92 1399.2    nan   2.11  1646.8   1.74   1.95   2.60  501.6
234  93 1413.8    nan   2.10  1651.3   8.39   2.00   1.93  505.4
235  94 1429.9    nan   2.10  1673.1   0.00   7.81   1.34  523.8
236  95 1444.3    nan   2.10  1673.1   0.00   7.12   2.72  523.8
237  96 1459.5    nan   2.10  1673.1   3.85   7.72   2.81  523.8
238  97 1475.5    nan   2.10  1683.1   9.67   7.75   3.36  532.3
239  98 1492.7    nan   2.09  1708.1   3.48   7.54   2.60  553.7
240  99 1507.3    nan   2.09  1717.1   0.00   7.37   3.01  553.7
