The parameter values used or converged in the simulated result:
Initial LAI  =  0.037212
Parameter a = 0.00036834
Parameter b = 6.3519e-13
Parameter c = 0.0021741

Estimated grain yield (kg/ha) :
12514.0

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
235  86 1248.3    nan   6.47   956.3   2.52  14.95   2.55  433.0
236  87 1263.1    nan   6.42   962.9   6.16  16.53   2.38  439.2
237  88 1277.9    nan   6.37   978.8   8.66  11.61   2.83  454.4
238  89 1291.8   6.19   6.31  1001.3  10.47   9.70   2.90  475.8
239  90 1305.2    nan   6.26  1028.4   7.42  13.87   1.78  501.6
240  91 1316.1    nan   6.20  1047.6   8.78  16.35   2.28  520.0
241  92 1327.1    nan   6.15  1070.4   2.80  16.00   2.44  541.7
242  93 1336.7    nan   6.10  1077.7   3.11  16.10   2.77  548.6
243  94 1349.6    nan   6.04  1085.7   5.20  14.04   2.95  556.3
244  95 1361.6    nan   5.99  1099.2   3.73  15.26   2.91  569.2
245  96 1372.9    nan   5.93  1108.9   4.94  14.69   3.19  578.4
246  97 1384.5    nan   5.88  1121.7   5.28  15.75   2.79  590.7
247  98 1397.9    nan   5.83  1135.4   6.17  15.25   3.72  603.8
248  99 1413.4    nan   5.77  1151.4   1.09  14.75   3.47  619.1
249 100 1425.5    nan   5.72  1154.2   5.37  14.00   3.79  621.8
250 101 1435.5    nan   5.66  1168.1   9.59  14.64   3.70  635.1
251 102 1446.5    nan   5.60  1193.0   7.73   6.62   3.92  658.9
252 103 1457.6    nan   5.54  1213.0   4.08  11.00   2.72  678.1
253 104 1470.1    nan   5.48  1223.6   5.38  15.03   2.53  688.3
254 105 1481.4    nan   5.42  1237.5   7.16  14.89   2.82  701.6
255 106 1493.4    nan   5.35  1256.1   2.55  14.95   3.12  719.4
256 107 1504.3    nan   5.28  1262.7   2.93  13.13   3.40  725.7
257 108 1516.9    nan   5.21  1270.3   6.84  14.70   3.33  733.0
258 109 1530.7   5.03   5.14  1288.0   8.02  14.62   3.87  750.0
259 110 1545.5    nan   5.07  1308.8   6.51   8.89   3.85  770.0
260 111 1561.2    nan   4.99  1325.7   7.94  13.72   2.80  786.1
261 112 1578.3    nan   4.92  1346.3   6.85  11.46   3.88  805.8
262 113 1595.8    nan   4.84  1364.0   7.70  13.46   3.66  822.9
263 114 1609.2    nan   4.76  1384.0   5.85   9.85   3.83  842.0
264 115 1618.6    nan   4.68  1399.2   6.81   3.55   3.72  856.5
265 116 1627.2    nan   4.59  1416.8   7.67  12.50   1.85  873.4
266 117 1635.2    nan   4.51  1436.7   6.97  11.30   3.57  892.4
267 118 1643.6    nan   4.43  1454.8   7.92   9.37   3.76  909.7
268 119 1650.9    nan   4.35  1475.3   4.87   8.09   2.74  929.3
269 120 1659.9    nan   4.26  1487.9   3.39  12.63   2.17  941.3
270 121 1668.2    nan   4.18  1496.7   7.60  12.21   3.04  949.7
271 122 1678.5    nan   4.10  1516.4   3.97  12.31   3.51  968.5
272 123 1687.6    nan   4.02  1526.7   7.52  12.06   3.72  978.3
273 124 1697.7    nan   3.95  1546.2   7.13  11.96   4.27  996.9
274 125 1708.2    nan   3.87  1564.6   6.68  11.49   4.23 1014.4
275 126 1719.3    nan   3.79  1582.0   6.34  10.62   4.14 1030.9
276 127 1731.1   3.73   3.72  1598.4   2.86  10.48   3.58 1046.5
277 128 1745.9    nan   3.65  1605.8   2.11   7.02   3.60 1053.5
278 129 1754.5    nan   3.58  1611.3   6.42   9.65   2.92 1058.7
