The parameter values used or converged in the simulated result:
Initial LAI  = 0.0089326
Parameter a =   0.18215
Parameter b = 0.0017281
Parameter c =   0.00125

Estimated grain yield (kg/ha) :
 6967.1

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
235  86 1185.0   2.60   2.21   528.2   0.00   5.11   1.79  227.7
236  87 1197.4    nan   2.21   528.2   0.00   6.13   2.00  227.7
237  88 1210.7    nan   2.21   528.2   2.13   6.69   2.24  227.7
238  89 1224.7    nan   2.20   533.8   5.35   6.62   2.82  232.5
239  90 1239.9    nan   2.20   547.6   1.92   5.36   3.32  244.6
240  91 1252.5    nan   2.20   552.6   4.98   4.98   2.92  248.9
241  92 1266.0    nan   2.19   565.5   2.32   1.78   2.60  260.2
242  93 1279.6    nan   2.19   571.5   4.11   1.82   1.93  265.5
243  94 1293.9    nan   2.19   582.2   4.64   7.26   1.34  274.9
244  95 1308.8    nan   2.18   594.2   1.38   6.60   2.72  285.5
245  96 1321.1    nan   2.18   597.8   1.43   7.16   2.81  288.7
246  97 1331.4    nan   2.18   601.5   3.57   7.19   3.36  292.0
247  98 1343.0    nan   2.17   610.8   3.31   6.99   2.60  300.2
248  99 1354.4    nan   2.17   619.3   1.50   6.83   3.01  307.9
249 100 1364.2    nan   2.17   623.2   1.53   7.12   2.98  311.3
250 101 1372.7    nan   2.16   627.2   1.68   2.10   3.37  314.9
251 102 1383.5    nan   2.16   631.6   4.96   5.88   1.28  318.8
252 103 1395.2    nan   2.16   644.4   4.17   7.32   2.19  330.3
253 104 1406.6    nan   2.15   655.2   1.82   6.93   2.42  340.0
254 105 1418.1    nan   2.15   660.0   5.16   4.28   3.11  344.3
255 106 1431.6    nan   2.15   673.3   4.53   6.97   2.67  356.3
256 107 1444.9    nan   2.14   685.1   3.88   7.29   2.37  367.0
257 108 1457.6    nan   2.14   695.2   1.76   7.31   2.41  376.0
258 109 1468.6    nan   2.13   699.7   5.71   7.17   3.35  380.2
259 110 1481.6    nan   2.13   714.5   2.43   6.06   4.17  393.6
260 111 1491.4   2.30   2.12   720.8   3.76   4.14   3.94  399.3
261 112 1503.3    nan   2.12   730.6   3.41   6.43   2.88  408.2
262 113 1515.1    nan   2.12   739.4   4.42   7.02   3.43  416.2
263 114 1527.1    nan   2.11   750.9   5.42   6.47   3.94  426.7
264 115 1538.8    nan   2.11   764.9   2.73   7.04   3.78  439.5
265 116 1549.9    nan   2.10   772.0   4.48   5.22   3.22  446.0
266 117 1561.7    nan   2.10   783.6   5.25   6.32   3.04  456.6
267 118 1571.9    nan   2.09   797.2   4.75   6.99   3.15  469.0
268 119 1581.3    nan   2.09   809.6   3.82   7.07   3.41  480.3
269 120 1591.5    nan   2.09   819.4   3.20   4.27   2.90  489.4
270 121 1602.3    nan   2.08   827.7   2.98   6.09   1.96  497.0
271 122 1613.1    nan   2.08   835.5   2.61   7.18   2.92  504.1
272 123 1624.4    nan   2.07   842.2   0.80   3.26   3.90  510.3
273 124 1636.3    nan   2.07   844.3   2.73   7.27   2.48  512.2
274 125 1649.1    nan   2.07   851.4   2.73   6.41   3.05  518.7
275 126 1660.5    nan   2.06   858.4   3.35   4.97   3.91  525.1
276 127 1672.4    nan   2.06   867.1   4.93   7.00   3.31  533.1
277 128 1684.1    nan   2.06   879.9   4.15   7.21   4.03  544.8
278 129 1698.7    nan   2.05   890.7   4.58   4.28   3.91  554.7
279 130 1711.8    nan   2.05   902.5   5.03   4.86   3.06  565.6
280 131 1724.1   2.40   2.05   915.6   2.61   6.48   3.03  577.5
281 132 1735.1    nan   2.04   922.3   2.48   6.95   4.45  583.7
282 133 1745.7    nan   2.04   928.7   4.05   6.11   4.53  589.5
283 134 1758.6    nan   2.04   939.2   3.06   2.76   4.11  599.1
284 135 1772.1    nan   2.03   947.2   1.18   2.40   2.40  606.3
285 136 1777.6    nan   2.03   950.2   0.91   2.75   2.78  609.0
286 137 1782.8    nan   2.03   952.6   2.45   6.03   1.99  611.2
287 138 1791.3    nan   2.02   958.9   3.38   6.87   3.60  616.9
288 139 1801.8    nan   2.02   967.7   2.42   2.36   4.44  624.6
289 140 1810.0    nan   2.02   974.0   1.63   5.79   2.83  630.1
290 141 1811.1    nan   2.01   978.2   4.84   7.18   2.74  633.8
291 142 1811.1    nan   2.01   990.7   4.59   6.76   4.29  644.7
292 143 1811.1    nan   2.01  1002.6   2.79   6.63   4.99  655.0
293 144 1812.4    nan   2.01  1009.9   3.10   6.60   3.62  661.3
294 145 1812.4    nan   2.00  1017.9   4.24   5.15   3.43  668.2
295 146 1812.4    nan   2.00  1028.9   4.21   5.00   3.87  677.7
296 147 1812.4    nan   2.00  1039.8   4.35   5.77   3.38  687.1
297 148 1813.9    nan   2.00  1051.0   3.79   7.06   3.68  696.7
298 149 1815.4    nan   2.00  1060.9   0.00   7.09   4.18  696.7
